iter	Passed	Remaining
166	928	4629
167	933	4623
168	939	4617
169	944	4610
170	949	4604
171	958	4612
172	963	4607
173	968	4599
174	974	4592
175	979	4585
176	984	4577
177	990	4571
178	995	4565
179	1001	4560
180	1006	4554
181	1011	4547
182	1017	4541
183	1022	4534
184	1027	4528
185	1033	4521
186	1038	4515
187	1043	4508
188	1049	4502
189	1054	4495
190	1059	4488
191	1065	4482
192	1070	4475
193	1075	4468
194	1080	4461
195	1086	4457
196	1091	4449
197	1096	4442
198	1101	4435
199	1107	4428
200	1112	4423
201	1118	4416
202	1123	4410
203	1129	4405
204	1134	4400
205	1140	4394
206	1145	4388
207	1151	4383
208	1156	4377
209	1161	4371
210	1167	4365
211	1172	4357
212	1177	4351
213	1182	4344
214	1188	4338
215	1193	4333
216	1199	4326
217	1204	4320
218	1210	4315
219	1215	4309
220	1221	4303
221	1226	4298
222	1232	4292
223	1237	4286
224	1242	4279
225	1248	4274
226	1253	4267
227	1259	4263
228	1264	4258
229	1270	4252
230	1275	4246
231	1280	4239
232	1286	4233
233	1291	4227
234	1297	4223
235	1302	4217
236	1308	4211
237	1313	4205
238	1318	4199
239	1324	4193
240	1329	4187
241	1334	4181
242	1340	4175
243	1345	4169
244	1351	4163
245	1356	4157
246	1362	4152
247	1367	4146
248	1373	4141
249	1379	4137
250	1387	4141
251	1393	4135
252	1398	4129
253	1403	4123
254	1409	4116
255	1414	4111
256	1422	4112
257	1428	4106
258	1433	4100
259	1438	4093
260	1443	4088
261	1449	4082
262	1454	4076
263	1459	4070
264	1465	4064
265	1470	4058
266	1476	4052
267	1481	4046
268	1487	4041
269	1492	4034
270	1498	4030
271	1503	4024
272	1508	4017
273	1514	4012
274	1519	4006
275	1525	4000
276	1530	3995
277	1536	3989
278	1542	3985
279	1548	3980
280	1553	3974
281	1558	3968
282	1564	3963
283	1569	3957
284	1575	3951
285	1580	3946
286	1586	3941
287	1592	3936
288	1597	3931
289	1603	3924
290	1608	3918
291	1613	3912
292	1618	3905
293	1623	3899
294	1629	3893
295	1634	3886
296	1639	3880
297	1645	3875
298	1650	3869
299	1656	3864
300	1661	3859
301	1667	3853
302	1673	3848
303	1678	3842
304	1683	3836
305	1688	3830
306	1694	3824
307	1699	3819
308	1708	3819
309	1713	3813
310	1718	3807
311	1724	3802
312	1729	3796
313	1735	3790
314	1740	3784
315	1745	3778
316	1751	3773
317	1756	3767
318	1761	3760
319	1766	3754
320	1772	3750
321	1781	3751
322	1787	3745
323	1792	3740
324	1797	3734
325	1803	3727
326	1808	3722
327	1813	3716
328	1819	3710
329	1824	3704
330	1830	3700
331	1835	3693
332	1841	3688
333	1847	3684
334	1853	3678
335	1858	3672
336	1863	3666
337	1868	3659
338	1874	3654
339	1879	3648
340	1885	3643
341	1890	3637
342	1896	3632
343	1902	3627
344	1907	3621
345	1912	3615
346	1917	3609
347	1923	3603
348	1928	3598
349	1934	3592
350	1939	3585
351	1944	3580
352	1950	3574
353	1955	3568
354	1961	3563
355	1966	3557
356	1972	3552
357	1977	3546
358	1983	3541
359	1989	3536
360	1995	3532
361	2001	3527
362	2007	3523
363	2012	3517
364	2018	3512
365	2023	3505
366	2029	3500
367	2035	3495
368	2041	3490
369	2046	3485
370	2052	3479
371	2057	3474
372	2063	3468
373	2068	3462
374	2074	3457
375	2079	3451
376	2085	3445
377	2090	3440
378	2096	3434
379	2101	3429
380	2106	3423
381	2112	3416
382	2117	3411
383	2122	3405
384	2127	3399
385	2132	3392
386	2138	3386
387	2144	3381
388	2149	3376
389	2155	3370
390	2160	3364
391	2165	3359
392	2171	3353
393	2177	3348
394	2182	3342
395	2188	3337
396	2193	3332
397	2199	3326
398	2204	3321
399	2210	3316
400	2216	3310
401	2221	3304
402	2226	3298
403	2232	3293
404	2237	3287
405	2243	3281
406	2248	3276
407	2254	3270
408	2259	3265
409	2265	3259
410	2270	3253
411	2276	3248
412	2281	3242
413	2286	3236
414	2292	3231
415	2297	3225
416	2303	3220
417	2308	3214
418	2314	3208
419	2318	3201
420	2324	3196
421	2329	3190
422	2334	3184
423	2339	3178
424	2345	3173
425	2350	3167
426	2356	3162
427	2361	3156
428	2367	3150
429	2372	3145
430	2378	3139
431	2383	3133
432	2389	3129
433	2398	3128
434	2404	3122
435	2409	3117
436	2415	3111
437	2419	3105
438	2425	3099
439	2430	3093
440	2436	3087
441	2441	3081
442	2446	3076
443	2452	3070
444	2457	3065
445	2463	3060
446	2469	3054
447	2474	3048
448	2479	3043
449	2485	3037
450	2490	3031
451	2495	3025
452	2501	3020
453	2507	3015
454	2512	3009
455	2518	3004
456	2523	2998
457	2528	2992
458	2534	2987
459	2539	2981
460	2544	2975
461	2550	2969
462	2555	2964
463	2560	2958
464	2566	2952
465	2571	2947
466	2577	2941
467	2582	2935
468	2587	2929
469	2592	2923
470	2598	2917
471	2603	2912
472	2608	2906
473	2613	2900
474	2619	2895
475	2624	2889
476	2630	2884
477	2636	2878
478	2641	2873
479	2647	2867
480	2652	2862
481	2658	2856
482	2663	2851
483	2668	2845
484	2674	2839
485	2679	2834
486	2684	2828
487	2689	2821
488	2694	2816
489	2699	2810
490	2705	2804
491	2710	2798
492	2715	2792
493	2721	2787
494	2726	2781
495	2732	2776
496	2737	2770
497	2743	2765
498	2748	2759
499	2754	2754
500	2762	2751
501	2768	2745
502	2773	2740
503	2778	2734
504	2783	2728
505	2788	2722
506	2794	2716
507	2799	2711
508	2805	2706
509	2810	2700
510	2816	2694
511	2821	2689
512	2827	2684
513	2833	2679
514	2839	2673
515	2844	2667
516	2850	2662
517	2855	2656
518	2860	2651
519	2865	2645
520	2870	2639
521	2876	2633
522	2882	2628
523	2887	2623
524	2893	2617
525	2898	2612
526	2903	2606
527	2909	2600
528	2914	2595
529	2921	2590
530	2926	2584
531	2932	2579
532	2937	2573
533	2942	2568
534	2948	2562
535	2953	2556
536	2958	2550
537	2963	2545
538	2968	2539
539	2974	2533
540	2980	2528
541	2985	2523
542	2991	2517
543	2996	2511
544	3001	2505
545	3006	2499
546	3011	2494
547	3017	2488
548	3022	2482
549	3028	2477
550	3033	2471
551	3038	2466
552	3044	2460
553	3049	2455
554	3055	2449
555	3060	2444
556	3066	2438
557	3071	2433
558	3077	2427
559	3082	2421
560	3087	2416
561	3093	2410
562	3098	2404
563	3103	2399
564	3109	2393
565	3114	2388
566	3120	2382
567	3125	2377
568	3130	2371
569	3136	2365
570	3141	2360
571	3146	2354
572	3152	2349
573	3158	2344
574	3163	2338
575	3169	2332
576	3174	2327
577	3180	2321
578	3185	2315
579	3190	2310
580	3195	2304
581	3201	2299
582	3206	2293
583	3212	2288
584	3217	2282
585	3223	2277
586	3228	2271
587	3233	2265
588	3239	2260
589	3244	2254
590	3250	2249
591	3256	2244
592	3261	2238
593	3267	2233
594	3275	2229
595	3281	2224
596	3286	2218
597	3291	2212
598	3296	2206
599	3302	2201
600	3307	2195
601	3312	2189
602	3317	2184
603	3322	2178
604	3328	2173
605	3334	2167
606	3339	2162
607	3345	2156
608	3351	2151
609	3356	2145
610	3361	2140
611	3367	2134
612	3372	2129
613	3377	2123
614	3383	2118
615	3388	2112
616	3394	2107
617	3399	2101
618	3404	2095
619	3409	2089
620	3415	2084
621	3421	2079
622	3429	2075
623	3435	2069
624	3440	2064
625	3446	2059
626	3452	2053
627	3457	2048
628	3462	2042
629	3468	2036
630	3473	2031
631	3479	2025
632	3484	2020
633	3490	2015
634	3495	2009
635	3501	2003
636	3507	1998
637	3512	1992
638	3518	1987
639	3523	1982
640	3529	1976
641	3534	1970
642	3539	1965
643	3545	1959
644	3550	1954
645	3556	1948
646	3561	1943
647	3566	1937
648	3572	1932
649	3578	1926
650	3583	1921
651	3589	1915
652	3594	1910
653	3599	1904
654	3605	1899
655	3610	1893
656	3616	1887
657	3621	1882
658	3626	1876
659	3631	1870
660	3636	1865
661	3642	1859
662	3647	1854
663	3653	1848
664	3658	1843
665	3664	1837
666	3669	1832
667	3674	1826
668	3680	1820
669	3685	1815
670	3691	1809
671	3696	1804
672	3702	1799
673	3708	1793
674	3713	1788
675	3718	1782
676	3724	1776
677	3729	1771
678	3735	1765
679	3740	1760
680	3746	1754
681	3751	1749
682	3759	1744
683	3764	1739
684	3770	1733
685	3776	1728
686	3781	1722
687	3787	1717
688	3792	1712
689	3798	1706
690	3803	1700
691	3809	1695
692	3815	1690
693	3820	1684
694	3825	1678
695	3831	1673
696	3836	1667
697	3842	1662
698	3847	1656
699	3852	1651
700	3858	1645
701	3863	1640
702	3869	1634
703	3874	1629
704	3879	1623
705	3885	1618
706	3890	1612
707	3896	1606
708	3901	1601
709	3907	1596
710	3912	1590
711	3918	1585
712	3923	1579
713	3928	1573
714	3934	1568
715	3939	1562
716	3945	1557
717	3950	1551
718	3956	1546
719	3961	1540
720	3967	1535
721	3972	1529
722	3978	1524
723	3983	1518
724	3989	1513
725	3994	1507
726	4000	1502
727	4006	1496
728	4011	1491
729	4016	1485
730	4022	1480
731	4027	1474
732	4032	1468
733	4038	1463
734	4043	1457
735	4049	1452
736	4055	1447
737	4060	1441
738	4066	1436
739	4071	1430
740	4076	1424
741	4081	1419
742	4087	1413
743	4092	1408
744	4098	1402
745	4103	1397
746	4108	1391
747	4113	1385
748	4119	1380
749	4124	1374
750	4129	1369
751	4134	1363
752	4141	1358
753	4147	1353
754	4152	1347
755	4157	1341
756	4163	1336
757	4168	1330
758	4174	1325
759	4179	1319
760	4185	1314
761	4192	1309
762	4197	1303
763	4202	1298
764	4208	1292
765	4213	1287
766	4218	1281
767	4223	1275
768	4229	1270
769	4234	1264
770	4239	1259
771	4245	1253
772	4250	1248
773	4256	1242
774	4260	1237
775	4266	1231
776	4271	1226
777	4276	1220
778	4282	1214
779	4287	1209
780	4293	1203
781	4298	1198
782	4303	1192
783	4308	1187
784	4314	1181
785	4319	1176
786	4324	1170
787	4329	1164
788	4335	1159
789	4340	1153
790	4346	1148
791	4352	1143
792	4357	1137
793	4363	1132
794	4368	1126
795	4373	1120
796	4379	1115
797	4385	1110
798	4390	1104
799	4395	1098
800	4400	1093
801	4406	1087
802	4411	1082
803	4417	1076
804	4424	1071
805	4429	1066
806	4434	1060
807	4440	1055
808	4445	1049
809	4450	1044
810	4456	1038
811	4462	1033
812	4468	1027
813	4473	1022
814	4479	1016
815	4484	1011
816	4489	1005
817	4495	1000
818	4501	994
819	4506	989
820	4511	983
821	4517	978
822	4522	972
823	4527	967
824	4533	961
825	4538	955
826	4543	950
827	4548	944
828	4554	939
829	4559	933
830	4568	929
831	4573	923
832	4578	917
833	4584	912
834	4589	906
835	4595	901
836	4600	895
837	4606	890
838	4611	884
839	4617	879
840	4622	874
841	4627	868
842	4633	862
843	4638	857
844	4643	851
845	4649	846
846	4654	840
847	4659	835
848	4665	829
849	4670	824
850	4676	818
851	4682	813
852	4687	807
853	4693	802
854	4698	796
855	4704	791
856	4709	785
857	4715	780
858	4720	774
859	4725	769
860	4731	763
861	4737	758
862	4742	752
863	4747	747
864	4753	741
865	4758	736
866	4763	730
867	4769	725
868	4774	719
869	4779	714
870	4785	708
871	4790	703
872	4795	697
873	4801	692
874	4806	686
875	4812	681
876	4817	675
877	4823	670
878	4828	664
879	4833	659
880	4839	653
881	4845	648
882	4850	642
883	4856	637
884	4861	631
885	4866	626
886	4872	620
887	4878	615
888	4883	609
889	4888	604
890	4894	598
891	4899	593
892	4904	587
893	4909	582
894	4915	576
895	4920	571
896	4925	565
897	4931	560
898	4936	554
899	4941	549
900	4946	543
901	4952	538
902	4957	532
903	4963	527
904	4968	521
905	4974	516
906	4979	510
907	4985	505
908	4990	499
909	4995	494
910	5001	488
911	5006	483
912	5011	477
913	5017	472
914	5022	466
915	5027	461
916	5033	455
917	5038	450
918	5044	444
919	5049	439
920	5055	433
921	5060	428
922	5065	422
923	5071	417
924	5076	411
925	5081	406
926	5086	400
927	5092	395
928	5098	389
929	5103	384
930	5109	378
931	5114	373
932	5120	367
933	5125	362
934	5130	356
935	5135	351
936	5140	345
937	5146	340
938	5151	334
939	5156	329
940	5162	323
941	5167	318
942	5173	312
943	5178	307
944	5184	301
945	5190	296
946	5195	290
947	5201	285
948	5207	279
949	5213	274
950	5218	268
951	5223	263
952	5229	257
953	5235	252
954	5240	246
955	5246	241
956	5251	235
957	5256	230
958	5262	225
959	5268	219
960	5273	214
961	5279	208
962	5284	203
963	5291	197
964	5297	192
965	5302	186
966	5307	181
967	5312	175
968	5318	170
969	5323	164
970	5329	159
971	5335	153
972	5340	148
973	5345	142
974	5350	137
975	5356	131
976	5361	126
977	5366	120
978	5372	115
979	5377	109
980	5382	104
981	5388	98
982	5393	93
983	5398	87
984	5403	82
985	5408	76
986	5414	71
987	5419	65
988	5425	60
989	5430	54
990	5435	49
991	5441	43
992	5447	38
993	5453	32
994	5458	27
995	5463	21
996	5468	16
997	5474	10
998	5479	5
999	5484	0
